,질문
91,차량을 판매한 경우 어떻게 하나요?
92,내 차가 아닌 다른 차량이 보입니다.
93,실 운행자 등록 시 사용 가능한 기능은 무엇인가요?
94,내 차 정보가 안 보여요.
95,취급설명서는 어디서 다운 받나요?
96,내비게이션 시스템 업그레이드는 어디서 하나요?
97,"계정 통합 시, 선택하지 않은 계정은 어떻게 되나요? 가입 정보 (이름, 생년월일 등)도 통합되나요?"
98,"저는 5개 ID를 가지고 있는데, 계정 통합 화면에는 왜 2개 ID만 표시되는 건가요?"
99,"기존에 이미 사용하고 있던 ID인데, 왜 다시 본인 인증과 계정 통합을 해야 하나요?"
100,이메일 인증 받지 않으면 가입이 안 되는 건가요? 가입 절차가 너무 번거롭습니다.
101,"이미 가입되어 있는 ID가 있다고 하는데, 아이디를 바꾸고 싶어요. (사용하지 않는 ID, 퇴사한 회사의 ID 등)"
102,"본인 명의 폰도 없고, 아이핀 발급받기 번거로운데 꼭 본인인증을 받아야 하나요?"
103,"""예상하지 못한 오류가 발생했습니다."" 메시지가 표시됩니다."
104,현대닷컴 로그인 계정을 변경하고 싶습니다.
105,휴대폰 인증 SMS가 오지 않습니다.
106,로그인 시 비밀번호가 맞지 않다고 합니다.
107,로그인 시 다른 계정으로 로그인하라고 나옵니다.
108,차량관리 / 블루멤버스 / 마이카스토리 앱에 로그인이 안됩니다.
109,준회원은 왜 폐지되었나요. 기존 ID를 사용하지 못하는 이유는 무엇인가요?
110,회원가입을 해야만 현대닷컴을 이용할 수 있나요?
111,회원탈퇴 및 재가입을 원할때는 어떻게 해야 하나요?
112,비밀번호 및 개인정보를 변경하고 싶을때는 어떻게 해야 하나요?
113,‘인터넷 멤버스클럽’은 어떤 서비스인가요?
114,‘인터넷 멤버스클럽’은 언제부터 시작했나요?
115,‘인터넷 멤버스클럽’ 서비스는 누구에게 제공됩니까?
116,‘인터넷 멤버스클럽’ 서비스 신청은 어떻게 합니까?
117,"‘인터넷 멤버스클럽’ 서비스를 신청하면, 어떤 서비스를 받을 수 있나요?"
118,현대자동차 홈페이지에 있는 저작물 사용시 어떤 제한을 받습니까?
119,제품 카달로그나 설명서의 내용을 사용해도 되는지 궁금합니다.
120,실 운행자 등록 방법은 어떻게 되나요?
121,차량을 판매한 경우 어떻게 하나요?
122,내 차가 아닌 다른 차량이 보입니다.
123,실 운행자 등록 시 사용 가능한 기능은 무엇인가요?
124,내 차 정보가 안 보여요.
125,취급설명서는 어디서 다운 받나요?
126,내비게이션 시스템 업그레이드는 어디서 하나요?
127,"계정 통합 시, 선택하지 않은 계정은 어떻게 되나요? 가입 정보 (이름, 생년월일 등)도 통합되나요?"
128,"저는 5개 ID를 가지고 있는데, 계정 통합 화면에는 왜 2개 ID만 표시되는 건가요?"
129,"기존에 이미 사용하고 있던 ID인데, 왜 다시 본인 인증과 계정 통합을 해야 하나요?"
130,"[바디케어 서비스] 출고 이후에, 가입 상품을 변경하는 것이 가능할까요?"
131,"[바디케어 서비스] 서비스 가입 후 사고가 발생하지 않아 보장을 받지 않은 경우라면, 포인트는 다시 환불받을 수 있을까요?"
132,[바디케어 서비스] 적립 예정 포인트가 부족한 경우 어떻게 하나요?
133,[바디케어 서비스] 해약 하고 싶습니다. 어떻게 해야 하나요?
134,[바디케어 서비스] 가입은 어떻게 하나요?
135,포인트의 유효기간은 어떻게 되나요?
136,블루멤버스 포인트 양도 절차가 어떻게 되나요?
137,블루멤버스 포인트 적립 시점은 언제인가요?
138,회원 가입 절차 없이 포인트를 받을 수는 없나요?
139,블루멤버스 회원 가입 후 카드 발급은 언제 되나요?
140,"[바디케어 서비스] 출고 이후에, 가입 상품을 변경하는 것이 가능할까요?"
141,"[바디케어 서비스] 서비스 가입 후 사고가 발생하지 않아 보장을 받지 않은 경우라면, 포인트는 다시 환불받을 수 있을까요?"
142,[바디케어 서비스] 적립 예정 포인트가 부족한 경우 어떻게 하나요?
143,[바디케어 서비스] 해약 하고 싶습니다. 어떻게 해야 하나요?
144,[바디케어 서비스] 가입은 어떻게 하나요?
145,포인트의 유효기간은 어떻게 되나요?
146,블루멤버스 포인트 양도 절차가 어떻게 되나요?
147,블루멤버스 포인트 적립 시점은 언제인가요?
148,회원 가입 절차 없이 포인트를 받을 수는 없나요?
149,블루멤버스 회원 가입 후 카드 발급은 언제 되나요?
150,모젠 서비스에 오류가 있을 때에는 어떻게 하나요?
151,보증 수리기간이 어떻게 되나요?
152,ACC ON시에 바로 화면이 표시되지 않습니다.
153,"사용도중 단말기가 갑자기 중지되거나, 버튼을 입력해도 말을 듣지 않습니다."
154,단말기 모델 및 일련번호는 어디서 확인하나요?
155,"차안에서 음악을 듣는 데, 자꾸 길안내 방송이 나와서 신경을 쓰이게 합니다."
156,GPS 수신이 안됩니다. 어떻게 하나요?
157,내비게이션의 지도 업그레이드는 어떻게 하나요?
158,단말기만 별도로 충전을 해줘야 하나요?
159,단말기의 벨소리를 다운로드 받을 수 있나요?
160,단말기로 전화가 왔을때 전화를 받고 싶지 않다면 어떻게 해야하나요?
161,주행 중에는 단말기 조작이 안되나요?
162,단말기는 어디에서 판매 하나요?
163,지상파DMB 시청이 가능한 모젠 단말기의 수신지역은 어떻게 되나요?
164,월 중에 요금제를 변경하면 요금이 어떻게 청구되나요?
165,요금제 변경은 어떻게 하나요?
166,요금 미납을 했을 경우 가산금은 몇%인가요?
167,"혹시 길안내 서비스를 받으면, 길안내를 하는 동안 계속해서 이용 요금이 발생하는 것은 아닌가요?"
168,음성통화료와 데이터 요금은 무엇인가요?
169,모젠 요금제는 어떤 종류가 있나요?
170,인증 비밀번호 변경은 어떻게 하나요?
171,서비스를 해지하려면 어떻게 해야 하나요?
172,차량을 타인에게 양도할 때는 어떻게 해야 하나요?
173,자동차를 바꿀 경우에는 어떻게 해야하나요?
174,모젠 서비스 해지 시 필요한 서류는 무엇인가요?
175,모젠 서비스를 해지 후 단말기 사용은 전혀 불가능 한가요? 해지해도 사용할 수 있는 기능이 있나요?
176,모젠단말기의 전화번호는 변경이 가능한가요?
177,각종 변경 사항이나 문의는 어떻게 해야 하나요?
178,"가입, 변경,해지 처리는 전화로 가능한가요?"
179,자동차를 인수 받는 즉시 바로 모젠 서비스를 이용할 수 있나요?
180,서비스 개통시 반드시 정해진 이동통신 사업자번호를 받아야만 하나요? 다른 사업자번호로 개통할 수는 없나요?
181,이동통신 대리점에서도 서비스 가입을 할 수 있나요?
182,모젠 서비스에 가입하려면 어떻게 해야 하나요?
183,현재 쓰고 있는 핸드폰 번호를 단말기 전화번호와 동일한 번호로 사용할 수 있나요?
184,현대자동차에서 판매하는 모든 차종에 모젠 단말기 장착이 가능한가요?
185,텔레매틱스가 무엇 인가요?
186,지금 타고 있는 차량에 모젠 단말기 장착이 가능한가요?
187,모젠이 무슨 뜻인가요?
188,모젠 센터의 운영 시간은 어떻게 되나요?
189,주차장에 차를 어디에 세워두었는지 도저히 찾을 수가 없습니다. 내 차의 주차 위치를 알 수 있을까요?
190,집에 가려고 ‘양재동 366-3번지’라고 말하니까 인식이 안됩니다.
191,음성 인식이 계속 안됩니다.
192,"모젠 음성인식서비스에는 어떤 것들이 있나요?(이용방법,부가요금)"
193,유무선 연동 서비스와 동기화가 무엇인가요?
194,위험지역알림 DATA의 업데이트 주기는 어떻게 되나요?
195,위험지역 알림 서비스를 받기 위해서는 별도의 이용료가 있나요?
196,위험지역 DATA 업데이트는 어떻게 하나요?
197,원격진단 서비스는 어떻게 제공되나요?
198,원격진단 서비스는 모젠 서비스에 가입하지 않아도 이용할 수 있나요?
199,자동차 키를 차 안에 두고 내렸습니다. 차 문을 모젠이 열어줄 수 있나요?
200,에어백이 터지면 어떤 서비스가 제공되나요?
201,소모품 관리 서비스도 모젠 서비스에 가입해야만 이용이 가능한가요?
202,상담원이 상세한 교통정보를 제공해 주지 못합니다.
203,상담원을 통해서 받을 수 있는 서비스는 무엇인가요?
204,등록한 배경화면은 어떻게 볼 수 있나요?
205,가족 사진으로 배경화면 설정을 할 수 있나요?
206,무선인터넷으로 다른 인터넷 사이트에 접속할 수 있나요?
207,"차량을 잃어버려 급하게 연락했는데, 본인확인 절차가 까다롭고 시간을 낭비하는 등 차량을 찾을 수 없었습니다."
208,"도난 추적 서비스 요청을 했는데, 차량회수가 안된다고 합니다."
209,도난 추적 서비스 요청은 어떻게 해야 하나요?
210,도난 신고접수는 언제든지 가능한가요?
211,도난 경보 알림 서비스는 어떻게 제공되나요?
212,현재 내 차의 위치를 정확하게 친구에게 알려줄 수도 있나요?
213,"혼잡통행료 징수시간에 (남산 1,3호터널)로 자꾸 안내하는 데 우회도로로는 안내가 안되나요?"
214,예상 도착시각이 안 맞습니다.
215,연료절약 길안내를 이용하면 어떤 효과가 있나요?
216,연료절약 길안내가 뭔가요?
217,"목적지의 명칭오류,누락,수정건이 있는 경우에 수정이 가능한가요?"
218,길안내를 받으면서 전화통화를 할 수 있나요?
219,"길안내 서비스를 받아서 목적지까지 갔는 데, 사고로 막혀서 오래 걸렸습니다."
220,모젠 서비스에 오류가 있을 때에는 어떻게 하나요?
221,보증 수리기간이 어떻게 되나요?
222,ACC ON시에 바로 화면이 표시되지 않습니다.
223,"사용도중 단말기가 갑자기 중지되거나, 버튼을 입력해도 말을 듣지 않습니다."
224,단말기 모델 및 일련번호는 어디서 확인하나요?
225,"차안에서 음악을 듣는 데, 자꾸 길안내 방송이 나와서 신경을 쓰이게 합니다."
226,GPS 수신이 안됩니다. 어떻게 하나요?
227,내비게이션의 지도 업그레이드는 어떻게 하나요?
228,단말기만 별도로 충전을 해줘야 하나요?
229,단말기의 벨소리를 다운로드 받을 수 있나요?
230,[서비스] 블루링크를 가입하면 어떤 서비스가 제공되나요?
231,[A/S] 블루링크 서비스 이용 시 오류가 발생합니다.
232,[A/S] 원격 공조 제어 서비스를 사용했는데 계속 비상등이 켜져 깜박입니다.
233,[A/S] GPS 수신이 안됩니다.
234,[A/S] 주행 중에 시스템 조작이 안됩니다.
235,[요금제] 블루링크 유료 요금제가 어떻게 되나요?
236,[요금제] 요금 미납을 했을 경우 가산금은 몇%인가요?
237,[요금제] 요금제 납부 방식을 변경하고 싶습니다.
238,[요금제] 사용 중인 블루링크 요금제가 궁금합니다.
239,[가입] 블루링크는 어떻게 가입하나요?
240,[가입] 중고차를 구입했는데 블루링크에 가입할 수 있나요?
241,[해지] 블루링크를 해지하고 싶습니다.
242,[해지] 블루링크 가입 차량을 매각하면 자동으로 해지되나요?
243,[가입] 법인/리스/렌트 차량도 블루링크를 가입할 수 있나요?
244,[변경] 가입자 정보는 어떻게 변경하나요?
245,[가입] 차량 계약자와 실 사용자가 다를 경우 실 사용자 명의로 블루링크를 가입할 수 있나요?
246,[서비스] SOS 서비스로 긴급출동을 요청했을 경우 제공받을수 있는 서비스는 어떤것이 있나요?
247,[서비스] 도난 경보 알림 서비스는 어떻게 이용하나요?
248,[서비스] 도난 추적 서비스 요청은 어떻게 해야 하나요?
249,[서비스] 에어백 전개 자동통보 서비스는 어떻게 이용하나요?
250,[서비스] 블루링크를 가입하면 어떤 서비스가 제공되나요?
251,[A/S] 블루링크 서비스 이용 시 오류가 발생합니다.
252,[A/S] 원격 공조 제어 서비스를 사용했는데 계속 비상등이 켜져 깜박입니다.
253,[A/S] GPS 수신이 안됩니다.
254,[A/S] 주행 중에 시스템 조작이 안됩니다.
255,[요금제] 블루링크 유료 요금제가 어떻게 되나요?
256,[요금제] 요금 미납을 했을 경우 가산금은 몇%인가요?
257,[요금제] 요금제 납부 방식을 변경하고 싶습니다.
258,[요금제] 사용 중인 블루링크 요금제가 궁금합니다.
259,[가입] 블루링크는 어떻게 가입하나요?
260,출고 이후 카드키만 따로 구매 가능한가요?
261,디지털 키 App이 계속 자동으로 꺼지는데 어떻게 하나요?
262,"소유 차량 등록 확인은 어떻게 하나요?(중고차, 명의변경)"
263,공동명의 차량인데 차량 등록이 안되는데 어떻게 해야 하나요?
264,휴대폰 nfc기능이 인식이 안돼요. 어떻게 해야하나요?
265,핀번호 잊은 경우에는 어떻게 하나요?
266,"안드로이드 OS 버전, 블루투스 버전 확인 방법은 어떻게 되나요?"
267,NFC 카드키 등록은 어떻게 하나요?
268,LG 핸드폰은 GPS ON 해야 디지털키 사용이 가능한가요?
269,법인 구매 고객은 주사용자 등록을 어떻게 하나요?
270,출고 이후 카드키만 따로 구매 가능한가요?
271,디지털 키 App이 계속 자동으로 꺼지는데 어떻게 하나요?
272,"소유 차량 등록 확인은 어떻게 하나요?(중고차, 명의변경)"
273,공동명의 차량인데 차량 등록이 안되는데 어떻게 해야 하나요?
274,휴대폰 nfc기능이 인식이 안돼요. 어떻게 해야하나요?
275,핀번호 잊은 경우에는 어떻게 하나요?
276,"안드로이드 OS 버전, 블루투스 버전 확인 방법은 어떻게 되나요?"
277,NFC 카드키 등록은 어떻게 하나요?
278,LG 핸드폰은 GPS ON 해야 디지털키 사용이 가능한가요?
279,법인 구매 고객은 주사용자 등록을 어떻게 하나요?
